# 
# Header Description:
# 
# Version: v3.10.5 (24099-google), Manufacturer: Xiaomi, Model: M2012K11AG, GNSS HW Year: 2020, Platform: 12, API Level: 32 
# 
# Raw GNSS measurements format:
#   Raw,utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos
# 
# Location fix format: (This is the one we want**************)
#   Fix,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis,SpeedAccuracyMps,BearingAccuracyDegrees,elapsedRealtimeNanos,VerticalAccuracyMeters,MockLocation
# 
# Navigation message format:
#   Nav,Svid,Type,Status,MessageId,Sub-messageId,Data(Bytes)
# 
# NMEA format (for [NMEA sentence] format see https://en.wikipedia.org/wiki/NMEA_0183):
#   NMEA,[NMEA sentence],(UTC)TimeInMs
# 
# GnssAntennaInfo format (https://developer.android.com/reference/android/location/GnssAntennaInfo):
#   GnssAntennaInfo,CarrierFrequencyMHz,PhaseCenterOffsetXOffsetMm,PhaseCenterOffsetXOffsetUncertaintyMm,PhaseCenterOffsetYOffsetMm,PhaseCenterOffsetYOffsetUncertaintyMm,PhaseCenterOffsetZOffsetMm,PhaseCenterOffsetZOffsetUncertaintyMm,PhaseCenterVariationCorrectionsArray,PhaseCenterVariationCorrectionUncertaintiesArray,PhaseCenterVariationCorrectionsDeltaPhi,PhaseCenterVariationCorrectionsDeltaTheta,SignalGainCorrectionsArray,SignalGainCorrectionUncertaintiesArray,SignalGainCorrectionsDeltaPhi,SignalGainCorrectionsDeltaTheta
# 
# GnssStatus format (https://developer.android.com/reference/android/location/GnssStatus):
#   Status,UnixTimeMillis,SignalCount,SignalIndex,ConstellationType,Svid,CarrierFrequencyHz,Cn0DbHz,AzimuthDegrees,ElevationDegrees,UsedInFix,HasAlmanacData,HasEphemerisData,BasebandCn0DbHz
# Orientation sensor format (https://developer.android.com/reference/android/hardware/SensorEvent#values):
#   OrientationDeg,utcTimeMillis,elapsedRealtimeNanos,yawDeg,rollDeg,pitchDeg
Fix,gps,52.17132169,0.1711431,86.537353515625,1.05,35.74975,324.2,1741096809398,1.2041595,43.867138,327904097670807,20.321562,0
Fix,gps,52.17147619,0.17118293,123.3492431640625,0.77,22.203268,47.7,1741096811549,1.2101653,70.35904,327905764621015,27.757198,0
Fix,gps,52.17140834,0.17115293,107.44775390625,0.0,11.890952,0.0,1741096812549,0.664003,,327906765885285,14.042315,0
Fix,gps,52.17139595,0.17114804,104.0126953125,0.0,10.982454,0.0,1741096813549,0.5860034,,327907757030702,12.927956,0
Fix,gps,52.17127964,0.17101644,85.90826416015625,0.23,6.196936,47.7,1741096814000,0.55865914,39.346054,327908766797055,7.7316313,0
Fix,gps,52.1712931,0.17103384,89.2364501953125,0.0,4.188208,0.0,1741096816000,0.086023256,,327910218219138,5.062802,0
Fix,gps,52.17129445,0.17104217,90.0113525390625,0.0,3.9658856,0.0,1741096817000,0.086023256,,327911218644190,4.515109,0
Fix,gps,52.17129823,0.17104327,91.29144287109375,0.0,3.853102,0.0,1741096818000,0.086023256,,327912224371273,4.22633,0
Fix,gps,52.17129937,0.17104562,91.8563232421875,0.0,3.7900925,0.0,1741096819000,0.086023256,,327913207647783,3.8842974,0
Fix,gps,52.17130631,0.17105191,92.641845703125,0.0,3.7900925,0.0,1741096820000,0.086023256,,327914213960647,3.9299078,0
Fix,gps,52.1713182,0.17104107,92.7113037109375,0.32,3.7900925,324.3,1741096821000,1.1661904,86.99358,327915198957313,3.4694557,0
Fix,gps,52.17132479,0.17104214,93.1910400390625,0.0,3.7900925,0.0,1741096822000,0.086023256,,327916212353771,3.7025836,0
Fix,gps,52.17132584,0.17103841,92.36163330078125,0.0,3.7900925,0.0,1741096823000,0.09433981,,327917238045073,3.5073094,0
Fix,gps,52.17133058,0.17103693,92.7880859375,0.0,3.7900925,0.0,1741096824000,0.086023256,,327918208503354,3.4038773,0
Fix,gps,52.17132963,0.17103383,92.4410400390625,0.0,3.7900925,0.0,1741096825000,0.080622576,,327919228366062,3.2524815,0
Fix,gps,52.17133123,0.17103516,92.2109375,0.0,3.7900925,0.0,1741096826000,0.080622576,,327920219863145,3.2699807,0
Fix,gps,52.17133071,0.17103327,91.47271728515625,0.0,3.7900925,0.0,1741096827000,0.080622576,,327921206294499,3.074467,0
Fix,gps,52.17133171,0.17103393,90.9134521484375,0.0,3.7900925,0.0,1741096828000,0.080622576,,327922216196529,2.9541707,0
Fix,gps,52.1713326,0.17103302,90.2490234375,0.0,3.7900925,0.0,1741096829000,0.080622576,,327923212254915,2.868463,0
Fix,gps,52.17133486,0.17103477,90.013671875,0.0,3.7900925,0.0,1741096830000,0.080622576,,327924204135591,2.6667938,0
Fix,gps,52.1713335,0.17103351,89.80389404296875,0.0,3.7900925,0.0,1741096831000,1.2022063,,327925205064705,2.6051216,0
