frame_id,state,num_keyframes,num_mappoints,mnTracked,mnTrackedVO,num_orb_features
2,1,0,0,0,0,5740
2,1,0,0,0,0,5740
2,1,0,0,0,0,5740
2,1,0,0,0,0,5740
3,1,0,0,0,0,5902
3,1,0,0,0,0,5902
3,1,0,0,0,0,5902
3,1,0,0,0,0,5902
3,1,0,0,0,0,5902
4,1,0,0,0,0,5832
4,1,0,0,0,0,5832
4,1,0,0,0,0,5832
4,1,0,0,0,0,5832
4,1,0,0,0,0,5832
4,1,0,0,0,0,5832
5,1,0,0,0,0,5873
5,1,0,0,0,0,5873
5,1,0,0,0,0,5873
5,1,0,0,0,0,5873
5,1,0,0,0,0,5873
6,1,0,0,0,0,5837
6,1,0,0,0,0,5837
6,1,0,0,0,0,5837
6,1,0,0,0,0,5837
7,1,0,0,0,0,5840
7,1,0,0,0,0,5840
7,1,0,0,0,0,5840
7,1,0,0,0,0,5840
7,1,0,0,0,0,5840
8,1,0,0,0,0,5778
8,1,0,0,0,0,5778
8,1,0,0,0,0,5778
8,1,0,0,0,0,5778
9,1,0,0,0,0,5877
9,1,0,0,0,0,5877
9,1,0,0,0,0,5877
9,1,0,0,0,0,5877
9,1,0,0,0,0,5877
10,1,0,0,0,0,5846
10,1,0,0,0,0,5846
10,1,0,0,0,0,5846
10,1,0,0,0,0,5846
10,1,0,0,0,0,5846
11,1,0,0,0,0,5848
11,1,0,0,0,0,5848
11,1,0,0,0,0,5848
11,1,0,0,0,0,5848
12,1,0,0,0,0,5801
12,1,0,0,0,0,5801
12,1,0,0,0,0,5801
12,1,0,0,0,0,5801
13,1,0,0,0,0,5674
13,1,0,0,0,0,5674
13,1,0,0,0,0,5674
13,1,0,0,0,0,5674
13,1,0,0,0,0,5674
14,1,0,0,0,0,5676
14,1,0,0,0,0,5676
14,1,0,0,0,0,5676
14,1,0,0,0,0,5676
15,1,0,0,0,0,5730
15,1,0,0,0,0,5730
15,1,0,0,0,0,5730
15,1,0,0,0,0,5730
16,1,0,0,0,0,5865
16,1,0,0,0,0,5865
16,1,0,0,0,0,5865
16,1,0,0,0,0,5865
17,1,0,0,0,0,5857
17,1,0,0,0,0,5857
17,1,0,0,0,0,5857
17,1,0,0,0,0,5857
18,1,0,0,0,0,5888
18,1,0,0,0,0,5888
18,1,0,0,0,0,5888
18,1,0,0,0,0,5888
19,1,0,0,0,0,5824
19,1,0,0,0,0,5824
19,1,0,0,0,0,5824
19,1,0,0,0,0,5824
20,1,0,0,0,0,5802
20,1,0,0,0,0,5802
20,1,0,0,0,0,5802
20,1,0,0,0,0,5802
20,1,0,0,0,0,5802
20,1,0,0,0,0,5802
20,1,0,0,0,0,5802
20,1,0,0,0,0,5802
21,1,0,0,0,0,5806
23,2,3,272,172,0,3511
23,2,3,272,172,0,3511
24,2,3,272,177,0,3510
24,2,3,272,177,0,3510
25,2,4,229,175,0,3534
26,2,4,295,155,0,3463
27,2,4,288,185,0,3414
27,2,5,280,185,0,3414
28,2,5,327,177,0,3416
